,age,job,marital,education,default,housing,loan,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
2211,34,blue-collar,married,basic.9y,no,no,no,may,fri,423,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,yes
2212,24,student,single,high.school,no,yes,no,oct,thu,423,3,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,yes
2213,27,services,single,high.school,no,no,no,jul,fri,423,3,999,0,nonexistent,-1.7,94.215,-40.3,0.79,4991.6,yes
2214,31,management,single,university.degree,no,yes,no,nov,wed,424,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,yes
2215,29,services,married,high.school,no,no,no,oct,tue,424,1,999,1,failure,-3.4,92.431,-26.9,0.728,5017.5,yes
2216,55,retired,married,high.school,no,yes,no,oct,thu,424,2,7,1,success,-3.4,92.431,-26.9,0.722,5017.5,yes
2217,22,student,single,high.school,no,yes,no,aug,thu,425,2,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,yes
2218,61,admin.,married,university.degree,no,yes,yes,aug,wed,425,1,6,2,success,-1.7,94.027,-38.3,0.903,4991.6,yes
2219,51,admin.,married,university.degree,no,yes,no,jul,wed,426,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
2220,30,blue-collar,married,basic.9y,no,yes,no,apr,thu,426,3,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
2221,43,technician,married,university.degree,unknown,unknown,unknown,may,tue,426,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,yes
2222,37,admin.,married,high.school,no,no,no,apr,tue,426,2,999,0,nonexistent,-1.8,93.749,-34.6,0.646,5008.7,yes
2223,31,technician,single,university.degree,no,yes,no,jul,thu,426,1,6,2,success,-1.7,94.215,-40.3,0.899,4991.6,yes
2224,32,management,single,university.degree,no,yes,no,mar,tue,427,3,999,0,nonexistent,-1.8,92.843,-50,1.687,5099.1,yes
2225,29,admin.,single,professional.course,no,no,no,apr,thu,427,3,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
2226,25,admin.,single,university.degree,no,yes,no,may,tue,427,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
2227,52,retired,divorced,university.degree,no,no,no,aug,thu,427,1,15,1,success,-2.9,92.201,-31.4,0.883,5076.2,yes
2228,30,technician,married,professional.course,no,yes,no,oct,tue,427,1,999,0,nonexistent,-3.4,92.431,-26.9,0.737,5017.5,yes
2229,64,admin.,married,high.school,no,yes,no,oct,fri,427,1,999,1,failure,-3.4,92.431,-26.9,0.73,5017.5,yes
2230,33,admin.,single,university.degree,no,no,no,mar,mon,427,1,6,2,success,-1.8,93.369,-34.8,0.646,5008.7,yes
2231,31,technician,single,unknown,no,yes,no,aug,mon,428,2,9,3,success,-1.7,94.027,-38.3,0.898,4991.6,yes
2232,54,self-employed,married,basic.9y,unknown,yes,no,aug,thu,429,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
2233,57,entrepreneur,married,basic.9y,no,yes,no,may,mon,429,4,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,yes
2234,52,admin.,married,university.degree,no,no,no,may,wed,429,3,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,yes
2235,33,management,married,university.degree,no,yes,no,jul,tue,429,1,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,yes
2236,27,admin.,single,university.degree,no,yes,no,aug,wed,429,2,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes
2237,56,retired,married,basic.4y,no,no,no,dec,thu,429,1,999,0,nonexistent,-3,92.713,-33,0.714,5023.5,yes
2238,24,student,single,professional.course,no,no,no,jul,wed,429,2,6,3,success,-1.7,94.215,-40.3,0.896,4991.6,yes
2239,39,services,married,high.school,no,yes,no,may,fri,430,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
2240,42,entrepreneur,married,university.degree,no,unknown,unknown,jul,thu,430,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
2241,58,retired,divorced,professional.course,no,no,no,apr,thu,430,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
2242,33,blue-collar,married,basic.9y,unknown,no,no,may,wed,430,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,yes
2243,32,technician,single,high.school,no,no,no,jun,tue,430,1,999,1,failure,-2.9,92.963,-40.8,1.262,5076.2,yes
2244,38,technician,single,professional.course,no,no,no,sep,thu,430,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,yes
2245,39,management,married,university.degree,no,no,no,may,mon,431,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
2246,40,blue-collar,married,professional.course,no,yes,yes,jul,mon,431,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
2247,46,technician,divorced,professional.course,no,yes,no,may,mon,431,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes
2248,27,admin.,single,university.degree,no,yes,no,may,fri,431,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,yes
2249,29,services,single,high.school,no,yes,yes,jun,wed,431,2,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
2250,39,technician,single,professional.course,unknown,no,no,jun,mon,432,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes
2251,32,technician,single,university.degree,no,no,no,aug,tue,432,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
2252,26,admin.,married,high.school,no,yes,no,nov,mon,432,5,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,yes
2253,35,blue-collar,married,basic.4y,no,no,no,mar,mon,433,3,999,1,failure,-1.8,93.369,-34.8,0.635,5008.7,yes
2254,48,admin.,single,university.degree,no,yes,no,nov,mon,434,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,yes
2255,31,admin.,single,university.degree,no,yes,no,may,mon,434,4,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
2256,50,admin.,married,high.school,no,yes,no,sep,fri,434,2,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,yes
2257,49,admin.,single,high.school,no,yes,no,oct,fri,434,1,999,1,failure,-3.4,92.431,-26.9,0.739,5017.5,yes
2258,39,technician,married,university.degree,no,no,yes,jun,tue,434,2,999,1,failure,-1.7,94.055,-39.8,0.702,4991.6,yes
2259,23,student,single,high.school,no,yes,no,jun,mon,434,1,9,1,success,-1.7,94.055,-39.8,0.72,4991.6,yes
2260,23,blue-collar,single,high.school,no,no,no,jul,wed,435,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
2261,30,self-employed,single,university.degree,no,no,no,apr,thu,435,1,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,yes
2262,35,management,married,university.degree,no,yes,yes,apr,thu,435,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
2263,32,admin.,married,professional.course,no,yes,no,oct,tue,435,1,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,yes
2264,42,self-employed,married,university.degree,no,yes,no,jun,wed,436,1,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes
2265,42,management,married,university.degree,no,yes,no,aug,fri,436,1,13,1,success,-2.9,92.201,-31.4,0.869,5076.2,yes
2266,25,unemployed,married,high.school,no,yes,no,mar,wed,436,2,6,1,success,-1.8,93.369,-34.8,0.651,5008.7,yes
2267,29,technician,single,university.degree,no,yes,yes,may,fri,437,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
2268,26,technician,divorced,university.degree,no,no,no,jun,tue,437,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
2269,59,retired,married,professional.course,no,yes,no,jun,wed,437,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
2270,25,services,divorced,high.school,no,yes,yes,jun,thu,437,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
2271,47,admin.,married,high.school,no,yes,no,oct,fri,437,1,999,1,failure,-1.1,94.601,-49.5,0.972,4963.6,yes
2272,19,student,single,unknown,no,yes,no,apr,mon,438,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
2273,45,admin.,married,unknown,no,no,no,jun,fri,438,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
2274,30,admin.,married,university.degree,no,no,no,jul,fri,438,2,999,0,nonexistent,-2.9,92.469,-33.6,1.059,5076.2,yes
2275,24,student,single,unknown,no,yes,no,aug,fri,438,1,6,1,success,-2.9,92.201,-31.4,0.849,5076.2,yes
2276,22,student,single,basic.9y,no,no,no,oct,fri,438,1,999,1,failure,-3.4,92.431,-26.9,0.73,5017.5,yes
2277,35,technician,single,university.degree,no,yes,no,aug,tue,439,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
2278,47,blue-collar,married,high.school,no,no,no,apr,thu,439,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
2279,31,admin.,single,high.school,no,no,no,may,wed,439,1,3,1,success,-1.8,92.893,-46.2,1.27,5099.1,yes
2280,60,retired,married,university.degree,no,no,no,dec,fri,439,3,6,2,success,-3,92.713,-33,0.718,5023.5,yes
2281,51,blue-collar,married,basic.4y,no,yes,no,may,wed,440,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes
2282,33,admin.,married,university.degree,no,no,no,apr,wed,441,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
2283,20,technician,single,unknown,no,no,no,jun,mon,441,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
2284,35,technician,married,professional.course,no,no,no,aug,tue,441,1,999,0,nonexistent,-2.9,92.201,-31.4,0.859,5076.2,yes
2285,33,admin.,single,university.degree,no,no,no,oct,thu,441,5,999,1,failure,-3.4,92.431,-26.9,0.74,5017.5,yes
2286,42,technician,married,basic.9y,no,yes,no,jun,mon,442,8,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
2287,28,admin.,single,university.degree,no,yes,no,may,mon,442,1,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,yes
2288,37,admin.,divorced,university.degree,unknown,yes,no,may,mon,442,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes
2289,34,technician,married,professional.course,no,yes,no,oct,wed,442,2,8,1,success,-3.4,92.431,-26.9,0.735,5017.5,yes
2290,44,technician,married,professional.course,no,no,no,nov,fri,442,1,999,0,nonexistent,-1.1,94.767,-50.8,1.028,4963.6,yes
2291,29,admin.,single,high.school,no,yes,no,may,wed,443,7,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,yes
2292,72,retired,married,basic.4y,no,yes,no,may,wed,443,4,999,0,nonexistent,-1.8,93.876,-40,0.672,5008.7,yes
2293,60,retired,married,high.school,no,yes,no,aug,tue,443,2,999,2,failure,-1.7,94.027,-38.3,0.886,4991.6,yes
2294,35,student,single,university.degree,unknown,yes,yes,jun,mon,444,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes
2295,36,technician,single,professional.course,no,no,no,aug,mon,444,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
2296,27,management,married,university.degree,no,no,no,apr,mon,444,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
2297,32,admin.,married,university.degree,no,no,no,sep,thu,444,1,999,1,failure,-3.4,92.379,-29.8,0.809,5017.5,yes
2298,63,retired,married,professional.course,no,yes,yes,may,mon,444,2,14,1,success,-1.8,93.876,-40,0.685,5008.7,yes
2299,37,services,single,high.school,no,yes,no,may,wed,445,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,yes
2300,27,services,married,university.degree,no,yes,no,may,tue,445,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
2301,46,admin.,married,university.degree,no,yes,no,aug,thu,445,3,999,0,nonexistent,-2.9,92.201,-31.4,0.829,5076.2,yes
2302,29,self-employed,single,university.degree,no,yes,no,sep,tue,445,2,999,0,nonexistent,-3.4,92.379,-29.8,0.788,5017.5,yes
2303,59,technician,married,basic.9y,no,no,no,oct,fri,445,1,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,yes
2304,77,retired,divorced,basic.4y,no,yes,no,nov,mon,445,2,999,1,failure,-3.4,92.649,-30.1,0.714,5017.5,yes
2305,29,admin.,single,high.school,no,no,no,jul,fri,446,1,999,0,nonexistent,-2.9,92.469,-33.6,1.059,5076.2,yes
2306,60,admin.,married,high.school,no,no,no,apr,thu,447,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,yes
2307,30,management,single,university.degree,no,yes,yes,may,mon,447,1,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
2308,48,admin.,married,university.degree,no,yes,no,jun,wed,447,2,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes
2309,37,admin.,single,university.degree,no,yes,no,oct,thu,447,3,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,yes
2310,50,technician,married,professional.course,no,unknown,unknown,oct,fri,447,1,8,2,failure,-3.4,92.431,-26.9,0.739,5017.5,yes
2311,34,blue-collar,married,basic.9y,no,no,yes,aug,tue,447,1,999,1,failure,-1.7,94.027,-38.3,0.904,4991.6,yes
2312,27,admin.,single,professional.course,no,no,no,jul,tue,448,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
2313,43,admin.,divorced,high.school,no,yes,no,apr,thu,448,2,999,1,failure,-1.8,93.075,-47.1,1.435,5099.1,yes
2314,33,blue-collar,married,basic.9y,unknown,yes,no,may,thu,449,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
2315,30,admin.,married,university.degree,no,yes,yes,may,fri,449,4,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,yes
2316,29,admin.,single,university.degree,no,yes,yes,jun,thu,449,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
2317,26,student,single,basic.9y,no,no,no,aug,wed,449,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes
2318,32,admin.,single,university.degree,no,yes,no,dec,tue,449,2,999,0,nonexistent,-3,92.713,-33,0.707,5023.5,yes
2319,38,admin.,single,high.school,no,yes,yes,apr,thu,449,1,13,1,success,-1.8,93.749,-34.6,0.659,5008.7,yes
2320,25,admin.,single,high.school,no,no,no,jul,thu,449,2,999,0,nonexistent,-1.7,94.215,-40.3,0.81,4991.6,yes
2321,45,blue-collar,married,high.school,no,yes,yes,nov,mon,449,2,5,3,success,-1.1,94.767,-50.8,1.05,4963.6,yes
2322,29,technician,single,professional.course,no,no,no,nov,tue,449,2,1,1,success,-1.1,94.767,-50.8,1.046,4963.6,yes
2323,24,services,single,high.school,no,no,no,apr,tue,450,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
2324,38,blue-collar,single,high.school,no,no,no,mar,tue,450,3,6,2,success,-1.8,93.369,-34.8,0.652,5008.7,yes
2325,48,technician,married,professional.course,no,yes,yes,oct,mon,450,1,8,1,success,-1.1,94.601,-49.5,0.977,4963.6,yes
2326,52,management,divorced,university.degree,no,no,no,may,wed,451,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,yes
2327,30,technician,single,professional.course,no,yes,no,aug,thu,452,5,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
2328,44,admin.,married,basic.9y,unknown,yes,yes,aug,thu,452,6,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,yes
2329,19,student,single,unknown,no,yes,no,apr,fri,452,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
2330,33,blue-collar,single,basic.4y,no,no,no,apr,thu,452,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
2331,34,admin.,single,university.degree,no,yes,no,jun,mon,452,1,999,0,nonexistent,-1.7,94.055,-39.8,0.754,4991.6,yes
2332,24,admin.,single,high.school,no,no,no,jul,mon,452,1,14,1,success,-1.7,94.215,-40.3,0.827,4991.6,yes
2333,19,student,single,basic.6y,no,yes,yes,sep,thu,452,5,13,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes
2334,29,admin.,married,basic.9y,no,yes,no,nov,fri,453,1,999,0,nonexistent,-0.1,93.2,-42,4.474,5195.8,yes
2335,30,admin.,divorced,university.degree,no,no,no,nov,tue,453,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,yes
2336,69,retired,divorced,basic.4y,no,yes,no,apr,mon,453,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
2337,73,retired,married,basic.4y,no,no,no,aug,fri,453,1,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,yes
2338,37,housemaid,married,university.degree,no,no,no,oct,thu,453,1,6,2,success,-1.1,94.601,-49.5,1.025,4963.6,yes
2339,60,retired,divorced,professional.course,no,no,no,jul,tue,454,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
2340,33,entrepreneur,married,university.degree,no,yes,no,oct,tue,454,1,999,0,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,yes
2341,37,entrepreneur,married,university.degree,unknown,no,no,nov,mon,454,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,yes
2342,32,technician,single,university.degree,no,no,no,nov,thu,454,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,yes
2343,34,technician,single,university.degree,no,yes,yes,aug,wed,455,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,yes
2344,35,technician,married,university.degree,no,yes,no,aug,wed,455,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
2345,54,admin.,married,university.degree,no,yes,no,nov,fri,455,2,999,0,nonexistent,-3.4,92.649,-30.1,0.716,5017.5,yes
2346,38,services,single,high.school,no,yes,yes,may,thu,456,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,yes
2347,24,student,single,high.school,no,yes,no,aug,fri,456,1,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,yes
2348,65,management,married,unknown,no,no,no,dec,wed,456,2,9,1,success,-3,92.713,-33,0.715,5023.5,yes
2349,25,blue-collar,single,basic.9y,no,no,no,mar,thu,456,2,10,2,success,-1.8,93.369,-34.8,0.654,5008.7,yes
2350,31,admin.,single,high.school,no,yes,no,nov,wed,456,2,999,0,nonexistent,-1.1,94.767,-50.8,1.044,4963.6,yes
2351,56,entrepreneur,married,university.degree,no,no,no,apr,thu,457,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,yes
2352,59,technician,married,professional.course,no,yes,no,jul,fri,457,2,15,1,success,-1.7,94.215,-40.3,0.861,4991.6,yes
2353,59,unemployed,married,basic.4y,unknown,yes,no,jul,thu,458,9,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
2354,43,blue-collar,married,basic.9y,no,no,no,jul,mon,458,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
2355,31,blue-collar,married,professional.course,no,yes,no,jul,wed,458,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
2356,27,student,single,unknown,unknown,yes,no,apr,thu,458,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
2357,42,admin.,married,professional.course,no,yes,no,may,mon,458,3,9,2,failure,-1.8,92.893,-46.2,1.354,5099.1,yes
2358,36,admin.,single,basic.9y,no,yes,no,may,tue,458,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
2359,43,blue-collar,married,basic.6y,no,yes,no,jun,mon,458,6,999,0,nonexistent,-2.9,92.963,-40.8,1.281,5076.2,yes
2360,59,retired,married,basic.4y,no,yes,no,sep,tue,458,1,999,0,nonexistent,-3.4,92.379,-29.8,0.77,5017.5,yes
2361,36,self-employed,single,university.degree,no,no,yes,jun,mon,458,1,4,4,success,-1.7,94.055,-39.8,0.72,4991.6,yes
2362,30,admin.,single,university.degree,no,no,no,aug,fri,459,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
2363,32,blue-collar,married,basic.6y,unknown,yes,no,may,wed,459,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes
2364,39,admin.,married,university.degree,no,no,no,jun,mon,459,1,999,1,failure,-2.9,92.963,-40.8,1.215,5076.2,yes
2365,37,services,married,high.school,no,no,no,nov,wed,459,2,999,2,failure,-3.4,92.649,-30.1,0.715,5017.5,yes
2366,33,technician,single,professional.course,no,yes,no,mar,tue,459,1,999,0,nonexistent,-1.8,93.369,-34.8,0.646,5008.7,yes
2367,59,management,married,university.degree,no,no,no,may,mon,460,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
2368,38,admin.,married,university.degree,no,no,no,jun,fri,460,4,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,yes
2369,25,technician,single,university.degree,no,no,no,jul,tue,460,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
2370,32,technician,divorced,professional.course,no,yes,yes,mar,tue,460,1,999,0,nonexistent,-1.8,92.843,-50,1.556,5099.1,yes
2371,33,blue-collar,single,basic.4y,no,yes,yes,apr,thu,460,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
2372,29,admin.,single,basic.9y,unknown,no,no,may,thu,460,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
2373,67,retired,married,basic.6y,no,no,no,aug,tue,460,2,999,0,nonexistent,-2.9,92.201,-31.4,0.859,5076.2,yes
2374,50,admin.,married,university.degree,no,no,yes,aug,thu,460,1,15,2,failure,-2.9,92.201,-31.4,0.829,5076.2,yes
2375,24,student,single,unknown,no,yes,no,oct,fri,460,1,999,0,nonexistent,-3.4,92.431,-26.9,0.73,5017.5,yes
2376,43,technician,married,professional.course,no,no,no,may,thu,460,1,999,1,failure,-1.8,93.876,-40,0.699,5008.7,yes
2377,45,blue-collar,married,basic.9y,unknown,yes,no,may,mon,461,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
2378,34,admin.,single,university.degree,no,yes,no,apr,tue,461,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
2379,30,admin.,married,university.degree,no,yes,no,apr,thu,461,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
2380,25,student,single,high.school,no,yes,yes,aug,fri,461,1,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,yes
2381,45,entrepreneur,divorced,university.degree,no,no,no,may,fri,462,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
2382,32,admin.,single,university.degree,no,no,no,jun,fri,462,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
2383,85,housemaid,married,basic.4y,unknown,yes,no,apr,tue,462,1,999,1,failure,-1.8,93.749,-34.6,0.642,5008.7,yes
2384,50,housemaid,married,basic.4y,no,no,yes,jul,wed,462,1,4,1,success,-1.7,94.215,-40.3,0.896,4991.6,yes
2385,41,admin.,married,university.degree,no,no,no,apr,tue,463,1,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,yes
2386,33,technician,single,university.degree,no,yes,no,sep,thu,463,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,yes
2387,49,admin.,married,university.degree,no,yes,no,aug,tue,464,2,999,1,failure,-2.9,92.201,-31.4,0.883,5076.2,yes
2388,46,technician,married,basic.6y,no,yes,no,aug,thu,464,4,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,yes
2389,34,unemployed,single,university.degree,no,no,no,nov,fri,464,5,999,1,failure,-3.4,92.649,-30.1,0.716,5017.5,yes
2390,79,retired,married,basic.4y,no,no,yes,jul,fri,464,1,999,1,failure,-1.7,94.215,-40.3,0.822,4991.6,yes
2391,56,technician,divorced,professional.course,no,no,no,oct,mon,464,1,3,2,success,-1.1,94.601,-49.5,1,4963.6,yes
2392,30,blue-collar,married,basic.9y,no,no,no,nov,tue,465,1,999,0,nonexistent,-0.1,93.2,-42,4.7,5195.8,yes
2393,60,retired,divorced,basic.4y,no,no,no,apr,tue,465,4,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,yes
2394,37,self-employed,single,university.degree,no,yes,no,apr,thu,465,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
2395,41,technician,married,professional.course,no,yes,no,apr,tue,466,5,999,1,failure,-1.8,93.075,-47.1,1.423,5099.1,yes
2396,48,admin.,divorced,high.school,unknown,yes,yes,may,mon,466,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,yes
2397,67,admin.,married,basic.4y,unknown,no,no,jun,tue,466,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
2398,71,admin.,married,basic.4y,no,yes,yes,may,fri,466,4,3,2,success,-1.8,93.876,-40,0.684,5008.7,yes
2399,30,admin.,single,university.degree,no,unknown,unknown,may,fri,466,3,999,0,nonexistent,-1.8,93.876,-40,0.699,5008.7,yes
2400,48,self-employed,married,university.degree,no,no,no,jun,fri,467,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,yes
2401,29,admin.,single,university.degree,no,yes,yes,aug,wed,467,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
2402,34,admin.,married,university.degree,no,no,no,nov,fri,467,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,yes
2403,33,blue-collar,married,basic.6y,no,no,no,may,thu,467,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
2404,74,retired,married,basic.4y,unknown,yes,no,aug,mon,467,2,6,1,success,-2.9,92.201,-31.4,0.843,5076.2,yes
2405,32,admin.,married,university.degree,no,yes,no,oct,wed,467,2,6,1,success,-3.4,92.431,-26.9,0.735,5017.5,yes
2406,29,technician,single,professional.course,no,yes,yes,mar,thu,467,2,13,1,success,-1.8,93.369,-34.8,0.643,5008.7,yes
2407,24,technician,single,university.degree,no,yes,yes,nov,tue,467,3,6,3,failure,-1.1,94.767,-50.8,1.049,4963.6,yes
2408,34,admin.,single,high.school,no,no,no,mar,tue,469,1,6,2,success,-1.8,93.369,-34.8,0.652,5008.7,yes
2409,51,admin.,single,basic.6y,no,no,no,may,tue,470,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
2410,38,admin.,married,high.school,no,yes,no,aug,mon,470,1,6,2,failure,-2.9,92.201,-31.4,0.821,5076.2,yes
2411,47,admin.,married,university.degree,no,no,no,aug,wed,470,1,4,2,success,-1.7,94.027,-38.3,0.9,4991.6,yes
2412,26,admin.,single,university.degree,no,yes,no,sep,thu,471,1,7,1,success,-3.4,92.379,-29.8,0.809,5017.5,yes
2413,57,blue-collar,married,basic.4y,no,no,yes,jul,wed,471,2,999,0,nonexistent,-1.7,94.215,-40.3,0.896,4991.6,yes
2414,35,management,divorced,university.degree,no,no,no,aug,mon,472,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
2415,60,retired,married,high.school,no,no,no,dec,thu,472,1,999,0,nonexistent,-3,92.713,-33,0.72,5023.5,yes
2416,28,student,single,high.school,no,no,yes,may,wed,472,1,3,5,success,-1.8,93.876,-40,0.69,5008.7,yes
2417,83,retired,divorced,basic.4y,no,no,yes,jun,fri,472,2,999,0,nonexistent,-1.7,94.055,-39.8,0.748,4991.6,yes
2418,32,technician,single,professional.course,no,yes,no,aug,tue,473,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
